"","vbgem15","layer","lon.GK3","lat.GK3","lon.WGS84","lat.WGS84","AGS","RS","GEN","NUTS","digit6","gem15","gem15rs","name15","vbgnam15","raumt2010besiedlung","raumt2010lage","fl15_sum","z_bev15","popDens15","Road14","Road15","Road16","Road984"
"172910",8436902,514425,4305350,2760050,9.79058677933165,47.9538407951029,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,0,0,0,0
"172861",8436902,514426,4306350,2760050,9.80396775824631,47.9538654731271,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,0,0,0,0
"172859",8436902,514427,4307350,2760050,9.81734874855691,47.9538885222494,"08436009","084365002009","Bad Waldsee","DE148","5",8436009,84365002009,"Bad Waldsee, Stadt","VVG der Stadt Bad Waldsee","suburban","peripher",131.7,23119,175.542900531511,0,0,0,0
"172376",8436010,514428,4308350,2760050,9.83072974948557,47.9539099424675,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,1431.15935106139,0,0,0
"172430",8436010,514429,4309350,2760050,9.84411076025444,47.9539297337795,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,2069.85090478323,0,0,0
"172412",8436010,514430,4310350,2760050,9.85749178008565,47.9539478961836,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,2296.21900792667,0,0,0
"172420",8436010,514431,4311350,2760050,9.87087280820134,47.953964429678,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,1324.66303203489,0,0,1226.14419742308
"172433",8436010,514432,4312350,2760050,9.88425384382363,47.9539793342612,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,499.506554238439,0,0,2035.59589897321
"172467",8436010,514433,4313350,2760050,9.89763488617464,47.9539926099318,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,0,0,0,2076.32449245757
"172434",8436010,514434,4314350,2760050,9.9110159344765,47.9540042566885,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,0,0,0,1897.38950007839
"172373",8436010,514435,4315350,2760050,9.92439698795132,47.9540142745303,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,0,0,0,1534.84636074458
"172359",8436010,514436,4316350,2760050,9.93777804582122,47.9540226634562,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,0,2032.20993831174,0,0
"172310",8436010,514437,4317350,2760050,9.95115910730831,47.9540294234654,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,0,1027.33827617781,0,0
"172328",8436010,514438,4318350,2760050,9.9645401716347,47.9540345545574,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,0,0,0,0
"172295",8436010,514439,4319350,2760050,9.9779212380225,47.9540380567315,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,0,1367.00659180505,0,0
"172300",8436010,514440,4320350,2760050,9.99130230569383,47.9540399299875,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,0,2018.79639428972,0,0
"172314",8436010,514441,4321350,2760050,10.0046833738708,47.9540401743253,"08436010","084360010010","Bad Wurzach","DE148","0",8436010,84360010010,"Bad Wurzach, Stadt","Bad Wurzach, Stadt","rural","peripher",182.26,14505,79.5841106112148,0,0,0,0
"171488",8426908,514442,4322350,2760050,10.0180644417755,47.9540387897447,"08426100","084265008100","Rot an der Rot","DE146","5",8426100,84265008100,"Rot an der Rot","GVV Rot-Tannheim","rural","peripher",91.12,6909,75.8230904302019,0,0,0,0
"171491",8426908,514443,4323350,2760050,10.03144550863,47.954035776246,"08426100","084265008100","Rot an der Rot","DE146","5",8426100,84265008100,"Rot an der Rot","GVV Rot-Tannheim","rural","peripher",91.12,6909,75.8230904302019,0,0,0,0
"171469",8426908,514444,4324350,2760050,10.0448265736565,47.9540311338293,"08426100","084265008100","Rot an der Rot","DE146","5",8426100,84265008100,"Rot an der Rot","GVV Rot-Tannheim","rural","peripher",91.12,6909,75.8230904302019,0,0,0,0
"173166",8436904,514445,4325350,2760050,10.0582076360771,47.9540248624953,"08436004","084365004004","Aitrach","DE148","5",8436004,84365004004,"Aitrach","VVG der Stadt Leutkirch im Allgäu","rural","peripher",238.91,27666,115.800929220208,0,0,0,0
"173206",8436904,514446,4326350,2760050,10.0715886951138,47.9540169622443,"08436004","084365004004","Aitrach","DE148","5",8436004,84365004004,"Aitrach","VVG der Stadt Leutkirch im Allgäu","rural","peripher",238.91,27666,115.800929220208,0,1326.60420478205,0,0
"173177",8436904,514447,4327350,2760050,10.0849697499888,47.9540074330772,"08436004","084365004004","Aitrach","DE148","5",8436004,84365004004,"Aitrach","VVG der Stadt Leutkirch im Allgäu","rural","peripher",238.91,27666,115.800929220208,0,1920.03693430253,0,0
"233617",9764000,514448,4328350,2760050,10.0983507999242,47.9539962749948,"09764000","097640000000","Memmingen","DE274","0",9764000,9.764e+10,"Memmingen","Memmingen","urban","zentral",70.14,42841,610.792700313658,0,0,1631.25172226022,0
"233627",9764000,514449,4329350,2760050,10.1117318441422,47.9539834879983,"09764000","097640000000","Memmingen","DE274","0",9764000,9.764e+10,"Memmingen","Memmingen","urban","zentral",70.14,42841,610.792700313658,0,0,1879.5319571868,0
"233667",9764000,514450,4330350,2760050,10.1251128818648,47.9539690720887,"09764000","097640000000","Memmingen","DE274","0",9764000,9.764e+10,"Memmingen","Memmingen","urban","zentral",70.14,42841,610.792700313658,0,0,0,0
"233616",9764000,514451,4331350,2760050,10.1384939123141,47.9539530272675,"09764000","097640000000","Memmingen","DE274","0",9764000,9.764e+10,"Memmingen","Memmingen","urban","zentral",70.14,42841,610.792700313658,0,0,0,0
"233618",9764000,514452,4332350,2760050,10.1518749347124,47.9539353535362,"09764000","097640000000","Memmingen","DE274","0",9764000,9.764e+10,"Memmingen","Memmingen","urban","zentral",70.14,42841,610.792700313658,0,0,0,0
"233619",9764000,514453,4333350,2760050,10.1652559482816,47.9539160508963,"09764000","097640000000","Memmingen","DE274","0",9764000,9.764e+10,"Memmingen","Memmingen","urban","zentral",70.14,42841,610.792700313658,0,0,0,0
"233615",9764000,514454,4334350,2760050,10.178636952244,47.9538951193498,"09764000","097640000000","Memmingen","DE274","0",9764000,9.764e+10,"Memmingen","Memmingen","urban","zentral",70.14,42841,610.792700313658,0,0,966.962624641632,0
"240258",9778965,514455,4335350,2760050,10.1920179458217,47.9538725588986,"09778118","097785765118","Benningen","DE27C","5",9778118,97785765118,"Benningen","Memmingerberg (VGem)","urban","zentral",51.64,10384,201.084430673896,0,0,1986.72205358781,1716.59029724114
"240257",9778965,514456,4336350,2760050,10.2053989282368,47.9538483695448,"09778118","097785765118","Benningen","DE27C","5",9778118,97785765118,"Benningen","Memmingerberg (VGem)","urban","zentral",51.64,10384,201.084430673896,0,0,777.236652389402,2615.0724724896
"240266",9778965,514457,4337350,2760050,10.2187798987115,47.9538225512906,"09778118","097785765118","Benningen","DE27C","5",9778118,97785765118,"Benningen","Memmingerberg (VGem)","urban","zentral",51.64,10384,201.084430673896,0,0,0,1224.51804302659
"240263",9778965,514458,4338350,2760050,10.2321608564679,47.9537951041385,"09778162","097785765162","Lachen","DE27C","5",9778162,97785765162,"Lachen","Memmingerberg (VGem)","rural","zentral",51.64,10384,201.084430673896,0,0,0,1299.45352355694
"240233",9778965,514459,4339350,2760050,10.2455418007283,47.953766028091,"09778162","097785765162","Lachen","DE27C","5",9778162,97785765162,"Lachen","Memmingerberg (VGem)","rural","zentral",51.64,10384,201.084430673896,0,1345.54560016946,0,2117.90343669123
"240238",9778965,514460,4340350,2760050,10.2589227307147,47.953735323151,"09778162","097785765162","Lachen","DE27C","5",9778162,97785765162,"Lachen","Memmingerberg (VGem)","rural","zentral",51.64,10384,201.084430673896,0,1884.65007987054,0,646.86327344311
"240236",9778965,514461,4341350,2760050,10.2723036456493,47.9537029893212,"09778118","097785765118","Benningen","DE27C","5",9778118,97785765118,"Benningen","Memmingerberg (VGem)","urban","zentral",51.64,10384,201.084430673896,0,1983.23131559178,0,0
"239659",9778957,514462,4342350,2760050,10.2856845447543,47.9536690266046,"09778186","097785757186","Ottobeuren","DE27C","5",9778186,97785757186,"Ottobeuren, Markt","Ottobeuren (VGem)","suburban","peripher",91.12,10261,112.609745390694,0,1976.71657806379,0,213.597699586165
"239633",9778957,514463,4343350,2760050,10.2990654272519,47.9536334350045,"09778186","097785757186","Ottobeuren","DE27C","5",9778186,97785757186,"Ottobeuren, Markt","Ottobeuren (VGem)","suburban","peripher",91.12,10261,112.609745390694,0,1602.63890942174,0,170.93915071807
"239592",9778957,514464,4344350,2760050,10.3124462923643,47.9535962145242,"09778186","097785757186","Ottobeuren","DE27C","5",9778186,97785757186,"Ottobeuren, Markt","Ottobeuren (VGem)","suburban","peripher",91.12,10261,112.609745390694,0,3250.19997440151,0,0
"239608",9778957,514465,4345350,2760050,10.3258271393138,47.9535573651673,"09778186","097785757186","Ottobeuren","DE27C","5",9778186,97785757186,"Ottobeuren, Markt","Ottobeuren (VGem)","suburban","peripher",91.12,10261,112.609745390694,0,1691.05560930292,0,0
"239408",9778168,514466,4346350,2760050,10.3392079673224,47.9535168869372,"09778168","097780168168","Markt Rettenbach","DE27C","0",9778168,97780168168,"Markt Rettenbach, Markt","Markt Rettenbach, Markt","rural","peripher",51.49,3777,73.354049329967,0,0,0,0
"239623",9778957,514467,4347350,2760050,10.3525887756124,47.9534747798379,"09778186","097785757186","Ottobeuren","DE27C","5",9778186,97785757186,"Ottobeuren, Markt","Ottobeuren (VGem)","suburban","peripher",91.12,10261,112.609745390694,0,0,0,0
"239420",9778168,514468,4348350,2760050,10.3659695634062,47.9534310438732,"09778168","097780168168","Markt Rettenbach","DE27C","0",9778168,97780168168,"Markt Rettenbach, Markt","Markt Rettenbach, Markt","rural","peripher",51.49,3777,73.354049329967,0,0,0,0
"239429",9778168,514469,4349350,2760050,10.3793503299258,47.9533856790472,"09778168","097780168168","Markt Rettenbach","DE27C","0",9778168,97780168168,"Markt Rettenbach, Markt","Markt Rettenbach, Markt","rural","peripher",51.49,3777,73.354049329967,0,1094.76370818848,0,440.69973558577
"239417",9778168,514470,4350350,2760050,10.3927310743935,47.9533386853643,"09778168","097780168168","Markt Rettenbach","DE27C","0",9778168,97780168168,"Markt Rettenbach, Markt","Markt Rettenbach, Markt","rural","peripher",51.49,3777,73.354049329967,0,2532.9618194489,0,2130.32410548461
"239384",9778168,514471,4351350,2760050,10.4061117960317,47.9532900628288,"09778168","097780168168","Markt Rettenbach","DE27C","0",9778168,97780168168,"Markt Rettenbach, Markt","Markt Rettenbach, Markt","rural","peripher",51.49,3777,73.354049329967,0,1953.70285416588,0,1822.33641313403
"239397",9778168,514472,4352350,2760050,10.4194924940625,47.9532398114452,"09778168","097780168168","Markt Rettenbach","DE27C","0",9778168,97780168168,"Markt Rettenbach, Markt","Markt Rettenbach, Markt","rural","peripher",51.49,3777,73.354049329967,0,0,0,1659.56112253419
