"AQeCode","Y","Year","Projection","Lon","Lat","Alt","AQeType","AQeArea","HighDens","LowDens","Ind","Transp","Seap","Airp","Constr","UrbGreen","Agri","Forest","AGS","PopDens","PriRoad","SecRoad","FedAuto","LocRoute","indRegions"
"DESH052",65.0370153,2015,"EPSG:4979",10.122364,54.304242,18,"traffic","urban",0.053968253968254,0.777777777777778,0.111111111111111,0,0,0,0,0.0126984126984127,0,0.0444444444444444,"01002000",2193.6688050601,2854.63301748402,1174.17079366938,0,0,"01"
"DESH053",29.50833283,2015,"EPSG:4979",10.67332,53.862237,6,"traffic","urban",0.117088607594937,0.626582278481013,0.0221518987341772,0.0791139240506329,0,0,0,0.15506329113924,0,0,"01003000",1020.61876560094,2014.03903783345,0,0,0,"01"
"DESH055",35.2482844,2015,"EPSG:4979",10.664881,53.87453,13,"traffic","urban",0.107255520504732,0.586750788643533,0.135646687697161,0.0315457413249211,0,0,0,0.138801261829653,0,0,"01003000",1020.61876560094,0,0,1509.75143381389,434.708648469206,"01"
"DESL003",17.97481909,2015,"EPSG:4979",6.73354,49.357861,185,"background","urban",0,0.398713826366559,0.414790996784566,0,0,0,0,0,0,0.186495176848875,"10044111",929.924129240328,0,1408.58996809612,0,0,"10"
"DESL010",22.79726282,2015,"EPSG:4979",6.948776,49.244247,211,"background","urban",0,0.591639871382637,0.244372990353698,0,0,0,0,0.154340836012862,0,0.00964630225080386,"10041100",1053.40512924625,1959.59897110032,0,52.1754376150501,0,"10"
"DESL011",16.41714497,2015,"EPSG:4979",7.036322,49.237227,315,"background","urban",0,0.504761904761905,0.0698412698412698,0,0,0,0,0,0,0.425396825396825,"10041100",1053.40512924625,0,0,0,0,"10"
"DESL012",30.84416638,2015,"EPSG:4979",6.987601,49.233464,192,"background","urban",0.364217252396166,0.460063897763578,0.121405750798722,0.0351437699680511,0,0,0,0.0191693290734824,0,0,"10041100",1053.40512924625,5567.01924184548,0,2084.77125471862,0,"10"
"DESL013",20.313117,2015,"EPSG:4979",6.753639,49.322646,181,"background","suburban",0,0.348101265822785,0.30379746835443,0,0,0,0,0.0854430379746835,0.183544303797468,0,"10044115",809.60824817746,4158.39612664866,0,0,0,"10"
"DESL017",19.5775671,2015,"EPSG:4979",6.867744,49.254344,189,"background","urban",0.0477707006369427,0.445859872611465,0.194267515923567,0,0,0,0,0.127388535031847,0,0.0636942675159236,"10041519",580.372359783671,1916.47129993044,0,1222.1337574206,0,"10"
"DESL018",21.35228708,2015,"EPSG:4979",7.061679,49.299373,236,"background","urban",0,0.71608832807571,0.00630914826498423,0,0,0,0,0,0,0.277602523659306,"10041518",995.426848086102,0,0,1156.95599702611,0,"10"
